month,tn,eip,p,vc
1,20.37,25.4005,0.926,0.0351
2,22.47,17.1561,0.9286,0.072
3,25.24,12.013,0.9208,0.0855
4,26.86,10.221,0.9104,0.0776
5,26.1,10.9901,0.9158,0.0822
6,24.46,13.1206,0.9243,0.086
7,23.01,15.8345,0.9281,0.0782
8,22.44,17.236,0.9286,0.0716
9,22.52,17.0245,0.9286,0.0727
10,23.18,15.4596,0.9278,0.0797
11,21.94,18.6869,0.9286,0.0643
12,20.56,24.3421,0.9265,0.0389
