month,tm,eip,p,vc
1,33.92,6.1942,0.8142,0.0259
2,36.45,5.4279,0.7596,0.0156
3,38.23,4.9933,0.7149,0.0106
4,37.88,5.0731,0.7241,0.0115
5,35.77,5.6146,0.7753,0.0179
6,32.8,6.6071,0.835,0.032
7,29.62,8.1498,0.8826,0.055
8,28.18,9.1133,0.8987,0.0673
9,28.9,8.6047,0.8911,0.0612
10,31.88,6.9899,0.8505,0.0379
11,34.65,5.9517,0.7995,0.0224
12,33.9,6.2011,0.8146,0.026
