month,tm,eip,p,vc
1,34.83,5.8948,0.7958,0.0217
2,36.75,5.3494,0.7525,0.0146
3,37.33,5.2039,0.7382,0.0129
4,36.2,5.495,0.7655,0.0164
5,34.38,6.0392,0.8051,0.0237
6,31.75,7.0476,0.8525,0.0387
7,29.07,8.4927,0.8892,0.0597
8,28.23,9.076,0.8982,0.0669
9,28.68,8.7539,0.8935,0.063
10,30.7,7.551,0.8683,0.0464
11,33.7,6.2712,0.8184,0.027
12,34.27,6.0755,0.8073,0.0242
